Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,geocode_status,latitude,longitude,geocode_provider,dublin_district
01/06/2016,"Cliff Road, Ballyheigue",Kerry,,"€66,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
19/12/2016,"HAZELDENE, BALLINANEESHAGH, WATERFORD",Waterford,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
04/03/2016,"APT 3 HUMPHREYS PAROCHIAL HALL, TOWNS PARK, BALLYHAISE",Cavan,,"€14,250.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/02/2016,"21 ROSEMOUNT, THURLES, CO TIPPERARY",Tipperary,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
10/06/2016,"19 Dalriada Walk, Knocklyonne, Dublin 16",Dublin,,"€339,977.83",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,ok_mapbox_strict,53.271148,-6.32742,mapbox,16
16/11/2016,"7 CAHEROYAN DR, ATHENRY, GALWAY",Galway,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
03/06/2016,"B1 EDEN HALL, MODEL FARM RD, CORK",Cork,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/07/2016,"MOORPARK, BIRR, COUNTY OFFALY",Offaly,,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
18/08/2016,"SPRINGMOUNT COTTAGE, WOOD RD CLONLARA, CLARE",Clare,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/08/2016,"39 ABBEY COURT, LIMERICK RD, ENNIS",Clare,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
02/06/2016,"SHANAVALLA, BALLYMACELLIGOTT, TRALEE",Kerry,,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/07/2016,"21 ROSEHILL, OCALLAGHAN STRAND, LIMERICK",Limerick,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
05/04/2016,"1 COURT VIEW, ROSCOMMON, ROSCOMMON",Roscommon,,"€118,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,,,,,
01/11/2016,"8 MEADOWBROOK, TRAMORE, WATERFORD",Waterford,,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/05/2016,"8 WOODHAVEN, MERLIN PARK, GALWAY",Galway,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
11/01/2016,"23 FRENCHPARK, ORANMORE, GALWAY",Galway,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
15/12/2016,"31 RAVENSWOOD VIEW, CLONEE, DUBLIN 15",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.394344,-6.426644,mapbox,15
29/08/2016,"25 CALTRAGH HEIGHTS, CALTRAGH, SLIGO",Sligo,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/03/2016,"19 Abbey Court, Ballina",Mayo,,"€67,841.40",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
28/10/2016,"3 THE SPIRES, INNISHANNON, CORK",Cork,,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/04/2016,"BALLYMORRIS RD, PORTARLINGTON, LAOIS",Laois,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
01/11/2016,"59 Carrigweir, Tuam",Galway,,"€116,775.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
15/09/2016,"4 ARD NA GREINE, CELBRIDGE ROAD, MAYNOOTH",Kildare,,"€528,634.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,,,,,
25/01/2016,"broomfield, midleton",Cork,,"€46,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,,,,,
28/10/2016,"139 THE COURT, DUNBOYNE CASTEL, DUNBOYNE",Meath,,"€151,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
27/04/2016,"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.32946,-6.260829,mapbox,6
19/02/2016,"152 HEATHER HILL DOWNS, GRAIGUECULLEN, CARLOW",Laois,,"€158,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/10/2016,"11 EASTLY COURT COLLEGE WOOD, MALLOW, CORK",Cork,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
18/07/2016,"92 SOUTHGATE 1 7 CORK ST, DUBLIN 8, DUBLIN",Dublin,,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.336178,-6.288613,mapbox,8
22/07/2016,"12 VILLAGE COURT, UPPER PATRICK ST, KILKENNY",Kilkenny,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/12/2016,"22 TEMPLE HALL, MOUNT SAINT ANNES, MILLTOWN",Dublin,,"€273,127.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_mapbox_strict,53.337459,-6.245174,mapbox,2
28/11/2016,"68 Dealg Ban, Ladysbridge",Cork,,"€220,264.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
20/12/2016,"91 THE ATRIUM, ROEBUCK HILL, FOSTERS AVE",Dublin,,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.31445,-6.317987,mapbox,12
03/06/2016,"108 College Square, Terenure",Dublin,,"€596,600.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ok_mapbox_strict,53.30746,-6.309111,mapbox,6W
15/07/2016,"8 AN CRANNLA, DRANSHA, BUNCRANA",Donegal,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
02/08/2016,"ST GERARDS, THE BATTERIES, ATHLONE",Westmeath,,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
16/09/2016,"1 THORNMANBY ROAD, HOWTH, DUBLIN 13",Dublin,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.372215,-6.058513,mapbox,13
13/12/2016,"DRUMBEE, KILNALECK, COUNTY CAVAN",Cavan,,"€69,320.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
09/12/2016,"32 Downview, Farranlea Road",Cork,,"€156,800.57",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
22/07/2016,"15 CLUAIN AITEANN, BREE, ENNISCORTHY",Wexford,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
09/09/2016,"41 OLD ISLAND RD, ISLAND RD, LIMERICK",Limerick,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/08/2016,"BLOCK 4 APT 12, MAIN ST, TULLAMORE",Offaly,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/04/2016,"5 Coirneal Chearta, Kilkee, Co. Clare",Clare,,"€74,008.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
27/07/2016,"35 DANGAN HEIGHTS, GALWAY, GALWAY",Galway,,"€277,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
05/01/2016,"10 Ard Dara Drive, Station Road, Blarney",Cork,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
23/01/2016,"96 Ros Ard, Upper Glanmire, Ballinvriskig",Cork,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
11/10/2016,"CLOUGLEAFIN, MITCHELSTOWN, CO CORK",Cork,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/10/2016,"30 DUN CORAN, YOUGHAL, CO CORK",Cork,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
11/04/2016,"110 CRANN NUA, PORTARLINGTON, LAOIS",Laois,,"€102,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/11/2016,"2 ST BRIGIDS CLOSE, KILLESTER, DUBLIN 5",Dublin,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.380413,-6.20752,mapbox,5
01/06/2016,"146 BALROTHERY EST, TALLAGHT, DUBLIN 24",Dublin,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.2913056,-6.3369066,nominatim,24
15/12/2016,"SPRINGFIELD HOUSE, LOWER ALBERT RD, GLENAGEARY",Dublin,,"€995,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.277483,-6.121529,mapbox,-1
29/11/2016,"15 OAK MANOR, BALLACOLLIG, MOUNTMELLICK",Laois,,"€99,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/12/2016,"8 MAYSTON CRESCENT, FINGLAS, DUBLIN 11",Dublin,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.385639,-6.140453,mapbox,13
30/06/2016,"32 BUSHFIELD DR, CLONDALKIN, DUBLIN 22",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3098629,-6.4061640,nominatim,22
10/03/2016,"MUSWELL GREEN, DROMORE, BANTRY",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
15/04/2016,"9 The Downs, Whitefield Manor, Bettystown",Meath,,"€234,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
09/11/2016,"11 Parkside Walk, Parkside, Dublin 13",Dublin,,"€292,944.93",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_nominatim,53.4069229,-6.1664109,nominatim,13
01/12/2016,"CUSHEEN, CORBALLY, KILKEE",Clare,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
01/04/2016,"KILLAGURTEEN, WATERVILLE, CO KERRY",Kerry,,"€327,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/04/2016,"67 BLASKET SQ, WATERVILLE, SNUGBORO RD DUBLIN 15",Dublin,,"€176,500.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.39212,-6.373201,mapbox,15
21/04/2016,"42 CRUMLIN ROAD, CRUMLIN, DUBLIN 12",Dublin,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3315073,-6.2955820,nominatim,12
04/08/2016,"5 RICHARDSONS SQ, THE FOLLY, WATERFORD",Waterford,,"€139,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
10/10/2016,"1 SEAMOUNT, SALTHILL, GALWAY",Galway,,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
18/10/2016,"KILLAVALLIG, KANTURK, CORK",Cork,,"€39,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/06/2016,"1 ST JOSEPHS AVE, HENRY ST, GALWAY",Galway,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
06/09/2016,"24 SEAGRAVE, THE LINKS, STATION RD",Dublin,,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.418407,-6.15298,mapbox,13
06/05/2016,"CORMEEN, BALLYJAMESDUFF, CAVAN",Cavan,,"€64,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
10/11/2016,"37 GRANARY COURT, LADYSWELL, NORTH CITY LINK RD",Cork,,"€122,850.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/02/2016,"34 Whitethorn, Athgarvan",Kildare,,"€273,127.75",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,,,,,
04/03/2016,"87 MADIERA WOOD, THE MOYNE, ENNISCORTHY",Wexford,,"€121,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
14/11/2016,"11 MOUNT SYMON AVE, CLONSILLA, DUBLIN 15",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3870960,-6.4198259,nominatim,15
15/07/2016,"21 THE JETTY, MARKET POINT, PATRICK ST MULLINGAR",Westmeath,,"€74,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
27/04/2016,"1 OLD COURT VIEW, FIRHOUSE, DUBLIN 24",Dublin,,"€25,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_relaxed,53.377231,-6.324663,mapbox,15
13/05/2016,"3 CLUAIN AOIBHINN, CRADDOCKSTOWN, NAAS",Kildare,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
15/07/2016,"KEENAGHAN, KILCAR, CO. DONEGAL",Donegal,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
14/10/2016,"HILL RD, WHITEGATE, MIDLETON",Cork,,"€31,744.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/01/2016,"31 RAGLAN LANE, BALLSBRIDGE, DUBLIN 4",Dublin,,"€835,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.329944,-6.239529,mapbox,4
30/03/2016,"155 MANOR COURT, WESTERN DISTRIBUTOR RD, GALWAY",Galway,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
13/05/2016,"HARRYS COTTAGE, UPPER LOUTH SALT RD, GLEN",Donegal,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
18/05/2016,"129 Asmount Mews, Silversprings",Cork,,"€132,158.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
29/09/2016,"32 Diswellstown Manor, Castleknock, Dublin 15",Dublin,,"€431,718.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,ok_nominatim,53.3680640,-6.3861619,nominatim,15
28/09/2016,"67 GREAT WILIAM O'BRIEN ST, CORK",Cork,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/05/2016,"41 BAILE AN CHOISTE, HEADFORD RD, GALWAY",Galway,,"€151,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
16/12/2016,"THE BUNGALOW, DOONPETER, GLENVILLE",Cork,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
05/10/2016,"CREGGANE, DUAGH, ABBEYFEALE P.O",Kerry,,"€158,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/10/2016,"6 DONORE RD, CIRCULAR RD SOUTH, DUBLIN 8",Dublin,,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.335323,-6.281842,mapbox,8
26/07/2016,"109 ST HELENS RD, BOOTERSTOWN, DUBLIN",Dublin,,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.309947,-6.201925,mapbox,-1
29/11/2016,"20 STRANDFIELD MANOR, SPAWELL RD, WEXFORD",Wexford,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
01/03/2016,"G4 CLONMULLEN, EDENDERRY, CLONMULLEN",Offaly,,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
16/09/2016,"109 GRACEDIEU RD, WATERFORD, WATERFORD",Waterford,,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
07/04/2016,"1 HENRY STREET, WATERFORD, WATERFORD",Waterford,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/12/2016,"18 BROMLEY WAY, ARDKEEN VILLAGE, DUNMORE RD",Waterford,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
02/02/2016,"82 RINGSEND PARK, DUBLIN 4, DUBLIN",Dublin,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3433754,-6.2210491,nominatim,4
15/07/2016,"BALLYEAGH, BALLYBUNNION, KERRY",Kerry,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/02/2016,"BALLINFONTA, CRATLOE, CLARE",Clare,,"€192,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
01/04/2016,"129 THE WATERMILL, WATERMILL RD, RAHENY",Dublin,,"€299,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.378528,-6.17455,mapbox,5
17/02/2016,"108 The Links, Elm Park, Merrion Road",Dublin,,"€217,422.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.487449,-6.143188,mapbox,-1
01/02/2016,"KILFREE, GURTEEN, BALLYMOTE",Sligo,,"€85,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
27/07/2016,"41 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.6111307,-6.2050599,nominatim,-1
18/10/2016,"8 CROWE STREET, DUNDALK, CO LOUTH",Louth,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
28/10/2016,"COOLNAGURRANE, SKIBBEREEN, CORK",Cork,,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
10/06/2016,"S THE KNOLL, CASHELDOWNS, KILKENNY",Kilkenny,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
23/09/2016,"7 THE BEECHES, WOODVILLE, GLANMIRE",Cork,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
22/12/2016,"DERRY ROAD, DURROW, CO. LAOIS",Laois,,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
28/06/2016,"KARIBU, STRANDHILL RD, SLIGO",Sligo,,"€294,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/09/2016,"40 PYNES VALLEY, BALLYVOLANE, CORK",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/12/2016,"Apartment 180 Neptune Block, Honeypark, Dun Laoghaire",Dublin,,"€352,423.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_mapbox_relaxed,53.278942,-6.142216,mapbox,-1
10/11/2016,"64 RIVERRUN, LOUGH DOOLEY, BELTURBET",Cavan,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
22/06/2016,"30 Kilheale Ave, Kilheale Manor, Kill",Kildare,,"€259,911.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,,,,,
06/01/2016,"Attidermot, Aughrim, Ballinasloe",Galway,,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
30/09/2016,"60 Crenigans Banog, Milltown Road, Ashbourne",Meath,,"€245,814.98",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,,,,,
27/07/2016,"86 TREES RD, MT MERRION, DUBLIN",Dublin,,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.2920075,-6.2102740,nominatim,-1
16/12/2016,"2 the vale, moyglare hall, maynooth",Kildare,,"€387,664.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,,,,,
21/12/2016,"MULLYMUCKS, ROSCOMMON",Roscommon,,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
25/02/2016,"32 MILLBRIDGE AVE, SALLINS RD, NAAS",Kildare,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/07/2016,"58 ST MARYS PARK, WALKINSTOWN, DUBLIN 12",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.322998,-6.322456,mapbox,12
05/02/2016,"STARGAZER, DOOKS, GLENBEIGH",Kerry,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
03/11/2016,"11 DUN NA MARA, ORANMORE, GALWAY",Galway,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
20/10/2016,"19 CARROWBEG EST, WESTPORT, MAYO",Mayo,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/06/2016,"BEECHWOOD, NENAGH, TIPPERARY",Tipperary,,"€267,500.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
21/12/2016,"LANE HOUSE, 5 KILLINCARRIG MANOR, THE BURNABY    GREYSTONES",Wicklow,,"€555,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
26/01/2016,"45 PRIORY HALL, SPAWELL RD, WEXFORD",Wexford,,"€144,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
22/04/2016,"RATHKENNY, ABBEYDORNEY, TRALEE",Kerry,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
08/07/2016,"44 YELLOW MEADOWS DR, CLONDALKIN, DUBLIN 22",Dublin,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3268541,-6.3791715,nominatim,22
29/08/2016,"31 HEATHER GROVE, PALMERSTOWN, DUBLIN 20",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3526087,-6.3827551,nominatim,20
11/07/2016,"7 Elder Heath Lawn, Elder Heath, Kiltipper Road",Dublin,,"€242,291.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ok_mapbox_strict,53.270595,-6.379085,mapbox,24
15/11/2016,"4 SANDYCOVE PHASE 1, BALLYMONEY, GOREY",Wexford,,"€184,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
12/04/2016,"41 AMIEN ST, AMIEN SQUARE BUILDING, DUBLIN 1",Dublin,,"€232,500.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.352394,-6.249481,mapbox,1
04/08/2016,"OLDBRIDGE, WATERFORD ROAD LOWER, CARRICK BEG CARRICK ON SUIR",Tipperary,,"€103,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
16/08/2016,"APT 46, MANOR HALL APTS, MOUNR BROWNE DUBLIN 8",Dublin,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_mapbox_strict,53.353569,-6.285845,mapbox,7
07/04/2016,"5 BENGAL TERRACE, OLD CORK RD, LIMERICK",Limerick,,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,,,,,,
17/11/2016,"68 GRIFFITH PARADE, FINGLAS EAST, DUBLIN 11",Dublin,,"€229,000.00",No,No,Second-Hand Dwelling house /Apartment,,ok_nominatim,53.3829202,-6.2822856,nominatim,11
