Date of Sale (dd/mm/yyyy),County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,area_token_reduced,vat_adjusted_flag,Price_Adjusted_VAT,Price_Adjusted_VAT_Clamped
2016-06-01,Kerry,66000.0,No,Yes,New Dwelling house /Apartment,2016,6,0,0,Unknown,1,cliff road,0,Other,1,74910.0,74910.0
2016-12-19,Waterford,310000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,ballinaneeshagh,0,Other,0,310000.0,310000.0
2016-03-04,Cavan,14250.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,1,1,Unknown,1,towns park,0,Other,0,14250.0,60000.0
2016-02-26,Tipperary,300000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Unknown,1,thurles,0,thurles,0,300000.0,300000.0
2016-06-10,Dublin,339977.83,No,Yes,New Dwelling house /Apartment,2016,6,0,1,Dublin 16,0,knocklyonne,0,Other,1,385874.83705000003,385874.83705000003
2016-11-16,Galway,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,athenry,0,athenry,0,115000.0,115000.0
2016-06-03,Cork,125000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,0,Unknown,1,model farm rd,0,Other,0,125000.0,125000.0
2016-07-12,Offaly,112000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,0,Unknown,1,birr,0,Other,0,112000.0,112000.0
2016-08-18,Clare,227000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,0,Unknown,1,wood rd clonlara,0,Other,0,227000.0,227000.0
2016-08-12,Clare,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,1,Unknown,1,limerick rd,0,Other,0,155000.0,155000.0
2016-06-02,Kerry,137000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,0,Unknown,1,ballymacelligott,0,Other,0,137000.0,137000.0
2016-07-20,Limerick,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,ocallaghan strand,0,Other,0,260000.0,260000.0
2016-04-05,Roscommon,118000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,roscommon,0,Other,0,118000.0,118000.0
2016-11-01,Waterford,196000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,tramore,0,tramore,0,196000.0,196000.0
2016-05-12,Galway,300000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Unknown,1,merlin park,0,Other,0,300000.0,300000.0
2016-01-11,Galway,125000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,oranmore,0,oranmore,0,125000.0,125000.0
2016-12-15,Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Dublin 15,0,clonee,0,clonee,0,170000.0,170000.0
2016-08-29,Sligo,132000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,1,Unknown,1,caltragh,0,Other,0,132000.0,132000.0
2016-03-21,Mayo,67841.4,No,Yes,New Dwelling house /Apartment,2016,3,0,1,Unknown,1,19 abbey court,0,Other,1,76999.98899999999,76999.98899999999
2016-10-28,Cork,455000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,innishannon,0,Other,0,455000.0,455000.0
2016-04-08,Laois,135000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,0,Unknown,1,portarlington,0,portarlington,0,135000.0,135000.0
2016-11-01,Galway,116775.0,No,Yes,New Dwelling house /Apartment,2016,11,0,1,Unknown,1,59 carrigweir,0,Other,1,132539.625,132539.625
2016-09-15,Kildare,528634.0,No,Yes,New Dwelling house /Apartment,2016,9,0,1,Unknown,1,celbridge road,0,Other,1,599999.59,599999.59
2016-01-25,Cork,46000.0,No,Yes,New Dwelling house /Apartment,2016,1,0,0,Unknown,1,broomfield,0,Other,1,52210.0,60000.0
2016-10-28,Meath,151500.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,dunboyne castel,0,Other,0,151500.0,151500.0
2016-04-27,Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,ranelagh,0,ranelagh,0,275000.0,275000.0
2016-02-19,Laois,158500.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Unknown,1,graiguecullen,0,Other,0,158500.0,158500.0
2016-10-26,Cork,175000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,mallow,0,mallow,0,175000.0,175000.0
2016-07-18,Dublin,249000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Dublin 8,0,dublin 8,0,dublin 8,0,249000.0,249000.0
2016-07-22,Kilkenny,375000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,upper patrick st,0,Other,0,375000.0,375000.0
2016-12-21,Dublin,273127.75,No,Yes,New Dwelling house /Apartment,2016,12,0,1,Unknown,1,mount saint annes,0,Other,1,309999.99625,309999.99625
2016-11-28,Cork,220264.0,No,Yes,New Dwelling house /Apartment,2016,11,0,1,Unknown,1,68 dealg ban,0,Other,1,249999.64,249999.64
2016-12-20,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Unknown,1,roebuck hill,0,Other,0,365000.0,365000.0
2016-06-03,Dublin,596600.0,No,Yes,New Dwelling house /Apartment,2016,6,0,1,Unknown,1,108 college square,0,Other,1,677141.0,677141.0
2016-07-15,Donegal,90000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,dransha,0,Other,0,90000.0,90000.0
2016-08-02,Westmeath,107000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,0,Unknown,1,the batteries,0,Other,0,107000.0,107000.0
2016-09-16,Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Dublin 13,0,howth,0,Other,0,425000.0,425000.0
2016-12-13,Cavan,69320.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,kilnaleck,0,Other,0,69320.0,69320.0
2016-12-09,Cork,156800.57,No,Yes,New Dwelling house /Apartment,2016,12,0,1,Unknown,1,32 downview,0,Other,1,177968.64695,177968.64695
2016-07-22,Wexford,80000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,bree,0,Other,0,80000.0,80000.0
2016-09-09,Limerick,90000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,island rd,0,Other,0,90000.0,90000.0
2016-08-26,Offaly,80000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,1,1,Unknown,1,main st,0,main st,0,80000.0,80000.0
2016-04-20,Clare,74008.0,No,Yes,New Dwelling house /Apartment,2016,4,0,1,Unknown,1,kilkee,0,kilkee,1,83999.08,83999.08
2016-07-27,Galway,277000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,galway,0,Other,0,277000.0,277000.0
2016-01-05,Cork,340000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,station road,0,station road,0,340000.0,340000.0
2016-01-23,Cork,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,upper glanmire,0,Other,0,160000.0,160000.0
2016-10-11,Cork,55000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,mitchelstown,0,Other,0,55000.0,60000.0
2016-10-12,Cork,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,youghal,0,youghal,0,160000.0,160000.0
2016-04-11,Laois,102000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,portarlington,0,portarlington,0,102000.0,102000.0
2016-11-21,Dublin,400000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Dublin 5,0,killester,0,Other,0,400000.0,400000.0
2016-06-01,Dublin,205000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,1,Dublin 24,0,tallaght,0,tallaght,0,205000.0,205000.0
2016-12-15,Dublin,995000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,lower albert rd,0,Other,0,995000.0,721137.5
2016-11-29,Laois,99500.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,ballacollig,0,Other,0,99500.0,99500.0
2016-12-08,Dublin,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Dublin 11,0,finglas,0,finglas,0,120000.0,120000.0
2016-06-30,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,1,Dublin 22,0,clondalkin,0,clondalkin,0,250000.0,250000.0
2016-03-10,Cork,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,0,Unknown,1,dromore,0,Other,0,150000.0,150000.0
2016-04-15,Meath,234427.31,No,Yes,New Dwelling house /Apartment,2016,4,0,1,Unknown,1,whitefield manor,0,Other,1,266074.99685,266074.99685
2016-11-09,Dublin,292944.93,No,Yes,New Dwelling house /Apartment,2016,11,0,1,Dublin 13,0,parkside,0,parkside,1,332492.49555,332492.49555
2016-12-01,Clare,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,corbally,0,Other,0,230000.0,230000.0
2016-04-01,Kerry,327000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,0,Unknown,1,waterville,0,waterville,0,327000.0,327000.0
2016-04-08,Dublin,176500.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Dublin 15,0,waterville,0,waterville,0,176500.0,176500.0
2016-04-21,Dublin,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Dublin 12,0,crumlin,0,crumlin,0,60000.0,60000.0
2016-08-04,Waterford,139000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,1,Unknown,1,the folly,0,Other,0,139000.0,139000.0
2016-10-10,Galway,900000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,salthill,0,Other,0,900000.0,721137.5
2016-10-18,Cork,39000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,kanturk,0,Other,0,39000.0,60000.0
2016-06-08,Galway,205000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,1,Unknown,1,henry st,0,Other,0,205000.0,205000.0
2016-09-06,Dublin,194000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,the links,0,Other,0,194000.0,194000.0
2016-05-06,Cavan,64500.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,0,Unknown,1,ballyjamesduff,0,Other,0,64500.0,64500.0
2016-11-10,Cork,122850.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,ladyswell,0,Other,0,122850.0,122850.0
2016-02-26,Kildare,273127.75,No,Yes,New Dwelling house /Apartment,2016,2,0,1,Unknown,1,34 whitethorn,0,Other,1,309999.99625,309999.99625
2016-03-04,Wexford,121000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,1,Unknown,1,the moyne,0,Other,0,121000.0,121000.0
2016-11-14,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Dublin 15,0,clonsilla,0,clonsilla,0,290000.0,290000.0
2016-07-15,Westmeath,74500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,market point,0,Other,0,74500.0,74500.0
2016-04-27,Dublin,25000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Dublin 24,0,firhouse,0,Other,0,25000.0,60000.0
2016-05-13,Kildare,385000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Unknown,1,craddockstown,0,Other,0,385000.0,385000.0
2016-07-15,Donegal,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,0,Unknown,1,kilcar,0,Other,0,120000.0,120000.0
2016-10-14,Cork,31744.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,whitegate,0,Other,0,31744.0,60000.0
2016-01-21,Dublin,835000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Dublin 4,0,ballsbridge,0,ballsbridge,0,835000.0,721137.5
2016-03-30,Galway,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,1,Unknown,1,western distributor rd,0,Other,0,115000.0,115000.0
2016-05-13,Donegal,185000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,0,Unknown,1,upper louth salt rd,0,Other,0,185000.0,185000.0
2016-05-18,Cork,132158.59,No,Yes,New Dwelling house /Apartment,2016,5,0,1,Unknown,1,129 asmount mews,0,Other,1,149999.99964999998,149999.99964999998
2016-09-29,Dublin,431718.0,No,Yes,New Dwelling house /Apartment,2016,9,0,1,Dublin 15,0,castleknock,0,castleknock,1,489999.93,489999.93
2016-09-28,Cork,132000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,67 great wiliam obrien st,0,Other,0,132000.0,132000.0
2016-05-20,Galway,151000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Unknown,1,headford rd,0,Other,0,151000.0,151000.0
2016-12-16,Cork,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,doonpeter,0,Other,0,265000.0,265000.0
2016-10-05,Kerry,158000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,duagh,0,Other,0,158000.0,158000.0
2016-10-21,Dublin,460000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Dublin 8,0,circular rd south,0,Other,0,460000.0,460000.0
2016-07-26,Dublin,925000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,booterstown,0,Other,0,925000.0,721137.5
2016-11-29,Wexford,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,spawell rd,0,Other,0,190000.0,190000.0
2016-03-01,Offaly,46000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,0,Unknown,1,edenderry,0,edenderry,0,46000.0,60000.0
2016-09-16,Waterford,73000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,waterford,0,waterford,0,73000.0,73000.0
2016-04-07,Waterford,55000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,waterford,0,waterford,0,55000.0,60000.0
2016-12-21,Waterford,175000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Unknown,1,ardkeen village,0,Other,0,175000.0,175000.0
2016-02-02,Dublin,218000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Dublin 4,0,dublin 4,0,Other,0,218000.0,218000.0
2016-07-15,Kerry,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,0,Unknown,1,ballybunnion,0,Other,0,275000.0,275000.0
2016-02-26,Clare,192000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,0,Unknown,1,cratloe,0,Other,0,192000.0,192000.0
2016-04-01,Dublin,299000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,watermill rd,0,Other,0,299000.0,299000.0
2016-02-17,Dublin,217422.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Unknown,1,elm park,0,Other,0,217422.0,217422.0
2016-02-01,Sligo,85500.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,0,Unknown,1,gurteen,0,Other,0,85500.0,85500.0
2016-07-27,Dublin,130000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,balbriggan,0,balbriggan,0,130000.0,130000.0
2016-10-18,Louth,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,dundalk,0,dundalk,0,50000.0,60000.0
2016-10-28,Cork,157500.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,0,Unknown,1,skibbereen,0,Other,0,157500.0,157500.0
2016-06-10,Kilkenny,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,0,Unknown,1,casheldowns,0,Other,0,215000.0,215000.0
2016-09-23,Cork,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,woodville,0,Other,0,275000.0,275000.0
2016-12-22,Laois,148000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,durrow,0,Other,0,148000.0,148000.0
2016-06-28,Sligo,294000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,0,Unknown,1,strandhill rd,0,Other,0,294000.0,294000.0
2016-09-08,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,0,1,Unknown,1,ballyvolane,0,Other,0,250000.0,250000.0
2016-12-20,Dublin,352423.0,No,Yes,New Dwelling house /Apartment,2016,12,1,1,Unknown,1,honeypark,0,honeypark,1,400000.105,400000.105
2016-11-10,Cavan,45000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,lough dooley,0,Other,0,45000.0,60000.0
2016-06-22,Kildare,259911.89,No,Yes,New Dwelling house /Apartment,2016,6,0,1,Unknown,1,kilheale manor,0,Other,1,294999.99515000003,294999.99515000003
2016-01-06,Galway,107000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,0,Unknown,1,aughrim,0,Other,0,107000.0,107000.0
2016-09-30,Meath,245814.98,No,Yes,New Dwelling house /Apartment,2016,9,0,1,Unknown,1,milltown road,0,Other,1,279000.0023,279000.0023
2016-07-27,Dublin,875000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,mt merrion,0,Other,0,875000.0,721137.5
2016-12-16,Kildare,387664.0,No,Yes,New Dwelling house /Apartment,2016,12,0,1,Unknown,1,moyglare hall,0,Other,1,439998.64,439998.64
2016-12-21,Roscommon,77000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,0,Unknown,1,mullymucks,0,Other,0,77000.0,77000.0
2016-02-25,Kildare,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,1,Unknown,1,sallins rd,0,Other,0,265000.0,265000.0
2016-07-12,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Dublin 12,0,walkinstown,0,walkinstown,0,250000.0,250000.0
2016-02-05,Kerry,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,0,0,Unknown,1,dooks,0,Other,0,260000.0,260000.0
2016-11-03,Galway,175000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,oranmore,0,oranmore,0,175000.0,175000.0
2016-10-20,Mayo,205000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,westport,0,westport,0,205000.0,205000.0
2016-06-08,Tipperary,267500.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,0,0,Unknown,1,nenagh,0,nenagh,0,267500.0,267500.0
2016-12-21,Wicklow,555000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Unknown,1,5 killincarrig manor,0,Other,0,555000.0,555000.0
2016-01-26,Wexford,144000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,0,1,Unknown,1,spawell rd,0,Other,0,144000.0,144000.0
2016-04-22,Kerry,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,0,Unknown,1,abbeydorney,0,Other,0,200000.0,200000.0
2016-07-08,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Dublin 22,0,clondalkin,0,clondalkin,0,215000.0,215000.0
2016-08-29,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,1,Dublin 20,0,palmerstown,0,Other,0,320000.0,320000.0
2016-07-11,Dublin,242291.0,No,Yes,New Dwelling house /Apartment,2016,7,0,1,Unknown,1,elder heath,0,Other,1,275000.285,275000.285
2016-11-15,Wexford,184000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,ballymoney,0,Other,0,184000.0,184000.0
2016-04-12,Dublin,232500.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Dublin 1,0,amien square building,0,Other,0,232500.0,232500.0
2016-08-04,Tipperary,103000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,0,0,Unknown,1,waterford road lower,0,Other,0,103000.0,103000.0
2016-08-16,Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,1,1,Dublin 8,0,manor hall apts,0,Other,0,215000.0,215000.0
2016-04-07,Limerick,86000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,old cork rd,0,Other,0,86000.0,86000.0
2016-11-17,Dublin,229000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Dublin 11,0,finglas east,0,Other,0,229000.0,229000.0
2016-04-27,Dublin,232000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Unknown,1,crofton rd,0,Other,0,232000.0,232000.0
2016-07-15,Galway,377800.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,0,Unknown,1,derrydonnell north,0,Other,0,377800.0,377800.0
2016-07-15,Mayo,85000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Unknown,1,killala,0,Other,0,85000.0,85000.0
2016-07-18,Dublin,351500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,0,1,Dublin 9,0,beaumont,0,beaumont,0,351500.0,351500.0
2016-05-16,Cork,95000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,0,Unknown,1,enniskeane,0,Other,0,95000.0,95000.0
2016-12-22,Dublin,140000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Unknown,1,lamb alley,0,Other,0,140000.0,140000.0
2016-05-20,Westmeath,78000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Unknown,1,monksland,0,Other,0,78000.0,78000.0
2016-10-10,Cork,92000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,roman street,0,Other,0,92000.0,92000.0
2016-12-23,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,0,1,Dublin 8,0,cork st,0,Other,0,250000.0,250000.0
2016-05-10,Wicklow,375000.0,No,No,New Dwelling house /Apartment,2016,5,0,1,Unknown,1,upper newcastle,0,Other,0,375000.0,375000.0
2016-05-25,Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,0,1,Unknown,1,railway avenue,0,Other,0,430000.0,430000.0
2016-06-24,Tipperary,30334.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,1,1,Unknown,1,nenagh,0,nenagh,0,30334.0,60000.0
2016-04-07,Dublin,185000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,0,1,Dublin 22,0,clondalkin,0,clondalkin,0,185000.0,185000.0
2016-10-12,Dublin,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,0,1,Unknown,1,balbriggan,0,balbriggan,0,120000.0,120000.0
2016-11-04,Westmeath,81300.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,0,1,Unknown,1,mullingar,0,mullingar,0,81300.0,81300.0
2016-05-03,Longford,64317.0,No,Yes,New Dwelling house /Apartment,2016,5,0,1,Unknown,1,ballinalee road,0,Other,1,72999.795,72999.795
2016-03-22,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,0,1,Unknown,1,blanchardstown,0,blanchardstown,0,245000.0,245000.0
