Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month
2016-05-27,"5 Fforster Terrace, Lucan",Dublin,,259912.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-06-22,"5 Sundays Well, Bracken Park, Carpenterstown",Dublin,,259911.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6
2016-02-04,"APT 2, 2 BAILEYS NEW ST, WATERFORD",Waterford,,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-06-01,"Cliff Road, Ballyheigue",Kerry,,66000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6
2016-12-19,"HAZELDENE, BALLINANEESHAGH, WATERFORD",Waterford,,310000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-03-04,"APT 3 HUMPHREYS PAROCHIAL HALL, TOWNS PARK, BALLYHAISE",Cavan,,14250.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-02-26,"21 ROSEMOUNT, THURLES, CO TIPPERARY",Tipperary,,300000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-06-10,"19 Dalriada Walk, Knocklyonne, Dublin 16",Dublin,,339977.83,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,6
2016-11-16,"7 CAHEROYAN DR, ATHENRY, GALWAY",Galway,,115000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-06-03,"B1 EDEN HALL, MODEL FARM RD, CORK",Cork,,125000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-07-12,"MOORPARK, BIRR, COUNTY OFFALY",Offaly,,112000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-08-18,"SPRINGMOUNT COTTAGE, WOOD RD CLONLARA, CLARE",Clare,,227000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-08-12,"39 ABBEY COURT, LIMERICK RD, ENNIS",Clare,,155000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-06-02,"SHANAVALLA, BALLYMACELLIGOTT, TRALEE",Kerry,,137000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-07-20,"21 ROSEHILL, OCALLAGHAN STRAND, LIMERICK",Limerick,,260000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-04-05,"1 COURT VIEW, ROSCOMMON, ROSCOMMON",Roscommon,,118000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-11-01,"8 MEADOWBROOK, TRAMORE, WATERFORD",Waterford,,196000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-05-12,"8 WOODHAVEN, MERLIN PARK, GALWAY",Galway,,300000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-01-11,"23 FRENCHPARK, ORANMORE, GALWAY",Galway,,125000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-12-15,"31 RAVENSWOOD VIEW, CLONEE, DUBLIN 15",Dublin,,170000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-08-29,"25 CALTRAGH HEIGHTS, CALTRAGH, SLIGO",Sligo,,132000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-03-21,"19 Abbey Court, Ballina",Mayo,,67841.4,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,3
2016-10-28,"3 THE SPIRES, INNISHANNON, CORK",Cork,,455000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-04-08,"BALLYMORRIS RD, PORTARLINGTON, LAOIS",Laois,,135000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-11-01,"59 Carrigweir, Tuam",Galway,,116775.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11
2016-09-15,"4 ARD NA GREINE, CELBRIDGE ROAD, MAYNOOTH",Kildare,,528634.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9
2016-01-25,"broomfield, midleton",Cork,,46000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,1
2016-10-28,"139 THE COURT, DUNBOYNE CASTEL, DUNBOYNE",Meath,,151500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-04-27,"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-02-19,"152 HEATHER HILL DOWNS, GRAIGUECULLEN, CARLOW",Laois,,158500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-10-26,"11 EASTLY COURT COLLEGE WOOD, MALLOW, CORK",Cork,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-07-18,"92 SOUTHGATE 1 7 CORK ST, DUBLIN 8, DUBLIN",Dublin,,249000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-07-22,"12 VILLAGE COURT, UPPER PATRICK ST, KILKENNY",Kilkenny,,375000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-12-21,"22 TEMPLE HALL, MOUNT SAINT ANNES, MILLTOWN",Dublin,,273127.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12
2016-11-28,"68 Dealg Ban, Ladysbridge",Cork,,220264.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11
2016-12-20,"91 THE ATRIUM, ROEBUCK HILL, FOSTERS AVE",Dublin,,365000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-06-03,"108 College Square, Terenure",Dublin,,596600.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,6
2016-07-15,"8 AN CRANNLA, DRANSHA, BUNCRANA",Donegal,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-08-02,"ST GERARDS, THE BATTERIES, ATHLONE",Westmeath,,107000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-09-16,"1 THORNMANBY ROAD, HOWTH, DUBLIN 13",Dublin,,425000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-13,"DRUMBEE, KILNALECK, COUNTY CAVAN",Cavan,,69320.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-12-09,"32 Downview, Farranlea Road",Cork,,156800.57,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12
2016-07-22,"15 CLUAIN AITEANN, BREE, ENNISCORTHY",Wexford,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-09-09,"41 OLD ISLAND RD, ISLAND RD, LIMERICK",Limerick,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-08-26,"BLOCK 4 APT 12, MAIN ST, TULLAMORE",Offaly,,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-04-20,"5 Coirneal Chearta, Kilkee, Co. Clare",Clare,,74008.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,4
2016-07-27,"35 DANGAN HEIGHTS, GALWAY, GALWAY",Galway,,277000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-01-05,"10 Ard Dara Drive, Station Road, Blarney",Cork,,340000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-01-23,"96 Ros Ard, Upper Glanmire, Ballinvriskig",Cork,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-10-11,"CLOUGLEAFIN, MITCHELSTOWN, CO CORK",Cork,,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-12,"30 DUN CORAN, YOUGHAL, CO CORK",Cork,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-04-11,"110 CRANN NUA, PORTARLINGTON, LAOIS",Laois,,102000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-11-21,"2 ST BRIGIDS CLOSE, KILLESTER, DUBLIN 5",Dublin,,400000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-06-01,"146 BALROTHERY EST, TALLAGHT, DUBLIN 24",Dublin,,205000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-12-15,"SPRINGFIELD HOUSE, LOWER ALBERT RD, GLENAGEARY",Dublin,,995000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-11-29,"15 OAK MANOR, BALLACOLLIG, MOUNTMELLICK",Laois,,99500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-12-08,"8 MAYSTON CRESCENT, FINGLAS, DUBLIN 11",Dublin,,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-06-30,"32 BUSHFIELD DR, CLONDALKIN, DUBLIN 22",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-03-10,"MUSWELL GREEN, DROMORE, BANTRY",Cork,,150000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-04-15,"9 The Downs, Whitefield Manor, Bettystown",Meath,,234427.31,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,4
2016-11-09,"11 Parkside Walk, Parkside, Dublin 13",Dublin,,292944.93,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11
2016-12-01,"CUSHEEN, CORBALLY, KILKEE",Clare,,230000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-04-01,"KILLAGURTEEN, WATERVILLE, CO KERRY",Kerry,,327000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-04-08,"67 BLASKET SQ, WATERVILLE, SNUGBORO RD DUBLIN 15",Dublin,,176500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-04-21,"42 CRUMLIN ROAD, CRUMLIN, DUBLIN 12",Dublin,,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-08-04,"5 RICHARDSONS SQ, THE FOLLY, WATERFORD",Waterford,,139000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-10-10,"1 SEAMOUNT, SALTHILL, GALWAY",Galway,,900000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-18,"KILLAVALLIG, KANTURK, CORK",Cork,,39000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-08,"1 ST JOSEPHS AVE, HENRY ST, GALWAY",Galway,,205000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-09-06,"24 SEAGRAVE, THE LINKS, STATION RD",Dublin,,194000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-05-06,"CORMEEN, BALLYJAMESDUFF, CAVAN",Cavan,,64500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-11-10,"37 GRANARY COURT, LADYSWELL, NORTH CITY LINK RD",Cork,,122850.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-02-26,"34 Whitethorn, Athgarvan",Kildare,,273127.75,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,2
2016-03-04,"87 MADIERA WOOD, THE MOYNE, ENNISCORTHY",Wexford,,121000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-11-14,"11 MOUNT SYMON AVE, CLONSILLA, DUBLIN 15",Dublin,,290000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-07-15,"21 THE JETTY, MARKET POINT, PATRICK ST MULLINGAR",Westmeath,,74500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-04-27,"1 OLD COURT VIEW, FIRHOUSE, DUBLIN 24",Dublin,,25000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-05-13,"3 CLUAIN AOIBHINN, CRADDOCKSTOWN, NAAS",Kildare,,385000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-07-15,"KEENAGHAN, KILCAR, CO. DONEGAL",Donegal,,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-10-14,"HILL RD, WHITEGATE, MIDLETON",Cork,,31744.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-01-21,"31 RAGLAN LANE, BALLSBRIDGE, DUBLIN 4",Dublin,,835000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-03-30,"155 MANOR COURT, WESTERN DISTRIBUTOR RD, GALWAY",Galway,,115000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-05-13,"HARRYS COTTAGE, UPPER LOUTH SALT RD, GLEN",Donegal,,185000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-05-18,"129 Asmount Mews, Silversprings",Cork,,132158.59,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-09-29,"32 Diswellstown Manor, Castleknock, Dublin 15",Dublin,,431718.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9
2016-09-28,"67 GREAT WILIAM O'BRIEN ST, CORK",Cork,,132000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-05-20,"41 BAILE AN CHOISTE, HEADFORD RD, GALWAY",Galway,,151000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-12-16,"THE BUNGALOW, DOONPETER, GLENVILLE",Cork,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-10-05,"CREGGANE, DUAGH, ABBEYFEALE P.O",Kerry,,158000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-21,"6 DONORE RD, CIRCULAR RD SOUTH, DUBLIN 8",Dublin,,460000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-07-26,"109 ST HELENS RD, BOOTERSTOWN, DUBLIN",Dublin,,925000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-11-29,"20 STRANDFIELD MANOR, SPAWELL RD, WEXFORD",Wexford,,190000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-03-01,"G4 CLONMULLEN, EDENDERRY, CLONMULLEN",Offaly,,46000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-09-16,"109 GRACEDIEU RD, WATERFORD, WATERFORD",Waterford,,73000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-04-07,"1 HENRY STREET, WATERFORD, WATERFORD",Waterford,,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-12-21,"18 BROMLEY WAY, ARDKEEN VILLAGE, DUNMORE RD",Waterford,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-02-02,"82 RINGSEND PARK, DUBLIN 4, DUBLIN",Dublin,,218000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-07-15,"BALLYEAGH, BALLYBUNNION, KERRY",Kerry,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-02-26,"BALLINFONTA, CRATLOE, CLARE",Clare,,192000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-04-01,"129 THE WATERMILL, WATERMILL RD, RAHENY",Dublin,,299000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-02-17,"108 The Links, Elm Park, Merrion Road",Dublin,,217422.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-02-01,"KILFREE, GURTEEN, BALLYMOTE",Sligo,,85500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-07-27,"41 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-10-18,"8 CROWE STREET, DUNDALK, CO LOUTH",Louth,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-10-28,"COOLNAGURRANE, SKIBBEREEN, CORK",Cork,,157500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-10,"S THE KNOLL, CASHELDOWNS, KILKENNY",Kilkenny,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-09-23,"7 THE BEECHES, WOODVILLE, GLANMIRE",Cork,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-22,"DERRY ROAD, DURROW, CO. LAOIS",Laois,,148000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-06-28,"KARIBU, STRANDHILL RD, SLIGO",Sligo,,294000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-09-08,"40 PYNES VALLEY, BALLYVOLANE, CORK",Cork,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9
2016-12-20,"Apartment 180 Neptune Block, Honeypark, Dun Laoghaire",Dublin,,352423.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12
2016-11-10,"64 RIVERRUN, LOUGH DOOLEY, BELTURBET",Cavan,,45000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-06-22,"30 Kilheale Ave, Kilheale Manor, Kill",Kildare,,259911.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6
2016-01-06,"Attidermot, Aughrim, Ballinasloe",Galway,,107000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-09-30,"60 Crenigans Banog, Milltown Road, Ashbourne",Meath,,245814.98,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9
2016-07-27,"86 TREES RD, MT MERRION, DUBLIN",Dublin,,875000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-12-16,"2 the vale, moyglare hall, maynooth",Kildare,,387664.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,12
2016-12-21,"MULLYMUCKS, ROSCOMMON",Roscommon,,77000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-02-25,"32 MILLBRIDGE AVE, SALLINS RD, NAAS",Kildare,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-07-12,"58 ST MARYS PARK, WALKINSTOWN, DUBLIN 12",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-02-05,"STARGAZER, DOOKS, GLENBEIGH",Kerry,,260000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
2016-11-03,"11 DUN NA MARA, ORANMORE, GALWAY",Galway,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-10-20,"19 CARROWBEG EST, WESTPORT, MAYO",Mayo,,205000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-06-08,"BEECHWOOD, NENAGH, TIPPERARY",Tipperary,,267500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-12-21,"LANE HOUSE, 5 KILLINCARRIG MANOR, THE BURNABY    GREYSTONES",Wicklow,,555000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-01-26,"45 PRIORY HALL, SPAWELL RD, WEXFORD",Wexford,,144000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1
2016-04-22,"RATHKENNY, ABBEYDORNEY, TRALEE",Kerry,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-07-08,"44 YELLOW MEADOWS DR, CLONDALKIN, DUBLIN 22",Dublin,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-08-29,"31 HEATHER GROVE, PALMERSTOWN, DUBLIN 20",Dublin,,320000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-07-11,"7 Elder Heath Lawn, Elder Heath, Kiltipper Road",Dublin,,242291.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,7
2016-11-15,"4 SANDYCOVE PHASE 1, BALLYMONEY, GOREY",Wexford,,184000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-04-12,"41 AMIEN ST, AMIEN SQUARE BUILDING, DUBLIN 1",Dublin,,232500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-08-04,"OLDBRIDGE, WATERFORD ROAD LOWER, CARRICK BEG CARRICK ON SUIR",Tipperary,,103000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-08-16,"APT 46, MANOR HALL APTS, MOUNR BROWNE DUBLIN 8",Dublin,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8
2016-04-07,"5 BENGAL TERRACE, OLD CORK RD, LIMERICK",Limerick,,86000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-11-17,"68 GRIFFITH PARADE, FINGLAS EAST, DUBLIN 11",Dublin,,229000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-04-27,"119 HARBOUR VIEW, CROFTON RD, DUN LAOGHAIRE",Dublin,,232000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-07-15,"FIONN UISCE, DERRYDONNELL NORTH, ORANMORE",Galway,,377800.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-07-15,"19 BARTRA HEIGHTS, KILLALA, MAYO",Mayo,,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-07-18,"392 COLLINSWOOD, BEAUMONT, DUBLIN 9",Dublin,,351500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-05-16,"TEADIES LOWER, ENNISKEANE, CO CORK",Cork,,95000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-12-22,"69 LA ROCHELLE, LAMB ALLEY, HIGH ST",Dublin,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-05-20,"145 SLI AN CHOISTE, MONKSLAND, ATHLONE",Westmeath,,78000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-10-10,"3 COURTNEYS AVENUE, ROMAN STREET, CORK",Cork,,92000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-12-23,"11 ARDEE COURT, CORK ST, DUBLIN 8",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-05-10,"1 Timore Close, Upper Newcastle, Newcastle",Wicklow,,375000.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-05-25,"7 DARGANS WAY, RAILWAY AVENUE, SUTTON",Dublin,,430000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5
2016-06-24,"APT 3 FRIAR STREET, NENAGH, CO TIPPERARY",Tipperary,,30334.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6
2016-04-07,"70 CHERRYWOOD DR, CLONDALKIN, DUBLIN 22",Dublin,,185000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4
2016-10-12,"25 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10
2016-11-04,"27 DOMINICK STREET, MULLINGAR, COUNTY WESTMEATH",Westmeath,,81300.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11
2016-05-03,"78 Cartrun Breac, Ballinalee Road, Longford",Longford,,64317.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5
2016-03-22,"23 BRAMBLEFIELD CRESCENT, BLANCHARDSTOWN, DUBLIN",Dublin,,245000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3
2016-07-06,"12 ELM DR, CAHERDAVIN LAWN, LIMERICK",Limerick,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-12-17,"107 SLIABH, GORT, CARRON",Galway,,172000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-12-05,"58 GRIFFITH AVE, CLONMEL, TIPPERARY",Tipperary,,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12
2016-07-01,"7 STONEY HURST, DOORADOYLE, LIMERICK",Limerick,,135000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7
2016-02-29,"8 BOURLUM WOOD, GREEN RD, CARLOW",Carlow,,207000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2
